controller,speed_kmh,target_force_N,mean_force_N,std_force_N,cv_percent,min_force_N,max_force_N,contact_loss_percent,NoC,ATR_percent,effort_N2s,mechanical_work_J,signed_mechanical_work_J,trial,scenario_seed,measurement_noise_std_N,actuator_delay_s,actuator_time_constant_s,irregularity_scale,mass_scale_1,mass_scale_2,mass_scale_3,stiffness_scale_1,stiffness_scale_2,stiffness_scale_3,damping_scale_3,contact_stiffness_scale
T-APIC,300.0,157.3,167.2660461924694,96.42510714866212,57.64774701358568,88.67505458618557,461.5630070976372,0.0,8,27.594936708860757,23.336817343179987,0.6245422154434237,-0.27509641072597824,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
E-APIC,300.0,157.3,168.44518170295365,96.52554376025492,57.30383189616777,88.67505458618557,466.0743376087017,0.0,6,18.73417721518987,15.985191307552752,0.42159977239067603,-0.03546493443278958,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
ME-APIC,300.0,157.3,167.30956472633278,96.63576732602432,57.75866280214813,88.21787228026439,461.67512709060065,0.0,7,22.78481012658228,17.742190733343566,0.5454486956071384,-0.12502202040260188,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
Passive,350.0,188.825,193.2822797398256,166.63190010814756,86.2116797941582,96.26908919959153,996.7213988386435,0.0,0,0.0,0.0,0.0,0.0,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
Continuous,350.0,188.825,191.16338298212375,163.54224972924496,85.55103345526076,98.35667454794287,981.0507448999471,0.0,1,99.99999999999999,142.6804849143736,2.971484434133766,-1.4366526531435457,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
T-APIC,350.0,188.825,193.96851416234153,166.27850782864047,85.72448396932815,102.52295633953167,972.3589282469611,0.0,7,26.923076923076923,22.33252633517817,0.8505418788338392,-0.25993921082647625,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
E-APIC,350.0,188.825,195.57366276096542,169.66042491873233,86.7501393201881,102.52295633953167,990.4688556771139,0.0,6,21.89349112426035,36.062197165980855,0.7954759296435666,-0.0685950404514871,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
ME-APIC,350.0,188.825,192.67357260775688,165.1915209072811,85.73647058674545,101.04843960569134,975.0314446097383,0.0,7,23.076923076923073,29.16074416734618,0.8803348879879606,-0.5743926305731787,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
Passive,300.0,157.3,166.35295984836802,97.31855502337986,58.501246453376275,82.73543418185977,458.0793006405194,0.0,0,0.0,0.0,0.0,0.0,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
Continuous,300.0,157.3,163.21476794284175,92.00592775334634,56.371080211054846,86.65522958252224,455.4621261516127,0.0,1,100.0,83.74633660039255,1.7794503308464462,-0.6430673171844266,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
T-APIC,300.0,157.3,166.159384156285,95.80523136064774,57.65863411634695,86.2510924011416,461.2209088001181,0.0,8,27.594936708860757,23.71877147578424,0.6245707744341232,-0.23637917720871393,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
E-APIC,300.0,157.3,167.2440706055627,95.81142470209213,57.28838359122391,86.2510924011416,464.47133597171864,0.0,6,18.73417721518987,16.37030358076151,0.4248423414328162,-0.02112773676082819,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
ME-APIC,300.0,157.3,166.12538217091983,96.04558197732436,57.815115741017145,85.86476788110356,459.1179735235832,0.0,7,22.658227848101262,16.752661946362238,0.5078123075695476,-0.1021617526970169,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
Passive,350.0,188.825,191.73693212609166,166.05671361074621,86.60653519872875,99.0052284393137,995.4922808768492,0.0,0,0.0,0.0,0.0,0.0,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
Continuous,350.0,188.825,189.60729461136444,163.097886281965,86.0187824610148,93.00359939780812,994.7405765841041,0.0,1,99.99999999999999,140.70699058042004,2.9038963380906897,-1.3994758047584468,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
T-APIC,350.0,188.825,192.4575279241723,165.55126671982845,86.0196369066193,101.7650892743364,971.7079296994505,0.0,7,26.923076923076923,22.1374328032494,0.8468207268781939,-0.2366928318739125,6,645772366,2.0,0.005,0.015,0.8175581814891468,0.9427934820904945,0.966523798014102,1.0372363969604115,0.984945833221034,0.9114431098741737,0.9507461081451261,1.026363134733071,0.9905217122521917
